

Oregon (PST) SNOTEL Site Mt Hood Test Site - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jun 30 09:45:48 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
651,2023-05-31,00:00,    19.7,    77.8,     2.0,      45,
651,2023-05-31,01:00,    19.7,    77.8,     1.8,      45,
651,2023-05-31,02:00,    19.8,    77.8,     1.3,      45,
651,2023-05-31,03:00,    19.8,    77.8,     0.6,      46,
651,2023-05-31,04:00,    19.8,    77.9,     0.0,      45,
651,2023-05-31,05:00,    19.8,    77.9,    -0.5,      45,
651,2023-05-31,06:00,    19.9,    77.9,     0.0,      45,
651,2023-05-31,07:00,    19.6,    77.9,     1.0,      45,
651,2023-05-31,08:00,    19.7,    77.9,     1.9,      45,
651,2023-05-31,09:00,    19.9,    77.9,     2.4,      44,
651,2023-05-31,10:00,    19.9,    77.9,     3.4,      44,
651,2023-05-31,11:00,    19.8,    77.9,     5.1,      44,
651,2023-05-31,12:00,    19.7,    77.8,     5.4,      44,
651,2023-05-31,13:00,    19.6,    77.8,     6.0,      43,
651,2023-05-31,14:00,    19.4,    77.7,     4.6,      44,
651,2023-05-31,15:00,    19.2,    77.8,     5.1,      42,
651,2023-05-31,16:00,    19.0,    77.8,     3.1,      43,
651,2023-05-31,17:00,    18.8,    77.8,     2.6,      57,
651,2023-05-31,18:00,    18.7,    77.8,     2.2,      43,
651,2023-05-31,19:00,    18.7,    77.8,     2.2,      43,
651,2023-05-31,20:00,    18.7,    77.8,     2.0,      56,
651,2023-05-31,21:00,    18.7,    77.8,     1.9,      43,
651,2023-05-31,22:00,    18.7,    77.8,     1.7,      43,
651,2023-05-31,23:00,    18.7,    77.8,     1.3,      43,
651,2023-06-01,00:00,    18.8,    77.8,     1.4,      43,
651,2023-06-01,01:00,    18.8,    78.0,     1.4,      43,
651,2023-06-01,02:00,    18.8,    77.9,     1.6,      43,
651,2023-06-01,03:00,    18.9,    77.9,     0.2,      43,
651,2023-06-01,04:00,    18.9,    77.9,    -0.4,      43,
651,2023-06-01,05:00,    18.9,    77.9,    -0.2,      43,
651,2023-06-01,06:00,    18.9,    78.0,     1.5,      43,
651,2023-06-01,07:00,    18.6,    78.0,     2.4,      42,
651,2023-06-01,08:00,    18.8,    78.0,     4.1,      42,
651,2023-06-01,09:00,    18.9,    78.0,     5.0,      41,
651,2023-06-01,10:00,    18.9,    77.9,     6.1,      42,
651,2023-06-01,11:00,    18.8,    77.9,     7.3,      42,
651,2023-06-01,12:00,    18.6,    77.8,     8.4,      41,
651,2023-06-01,13:00,    18.5,    77.8,     9.6,      41,
651,2023-06-01,14:00,    18.2,    77.7,     9.4,      40,
651,2023-06-01,15:00,    18.0,    77.6,     9.9,      40,
651,2023-06-01,16:00,    17.7,    77.6,     9.2,      40,
651,2023-06-01,17:00,    17.4,    77.6,     8.6,      40,
651,2023-06-01,18:00,    17.4,    77.6,     7.1,      40,
651,2023-06-01,19:00,    17.3,    77.6,     5.9,      40,
651,2023-06-01,20:00,    17.3,    77.7,     4.0,      41,
651,2023-06-01,21:00,    17.3,    77.8,     3.1,      41,
651,2023-06-01,22:00,    17.4,    77.8,     3.6,      41,
651,2023-06-01,23:00,    17.4,    77.8,     3.1,-99.9,
651,2023-06-02,00:00,    17.4,    77.8,     3.1,      41,
651,2023-06-02,01:00,    17.4,    77.8,     3.0,-99.9,
651,2023-06-02,02:00,    17.4,    77.8,     3.5,      41,
651,2023-06-02,03:00,    17.5,    77.8,     4.0,      41,
651,2023-06-02,04:00,    17.5,    77.9,     3.2,      41,
651,2023-06-02,05:00,    17.6,    77.9,     3.5,      41,
651,2023-06-02,06:00,    17.6,    77.9,     6.9,      41,
651,2023-06-02,07:00,    17.3,    77.9,     7.0,      40,
651,2023-06-02,08:00,    17.4,    77.9,     7.0,      40,
651,2023-06-02,09:00,    17.4,    77.9,     8.9,      38,
651,2023-06-02,10:00,    17.4,    77.8,     9.8,      39,
651,2023-06-02,11:00,    17.3,    77.8,    10.9,      39,
651,2023-06-02,12:00,    17.2,    77.7,    11.5,      38,
651,2023-06-02,13:00,    17.0,    77.6,    11.5,      37,
651,2023-06-02,14:00,    16.7,    77.6,    12.6,      37,
651,2023-06-02,15:00,    16.5,    77.5,    12.5,      37,
651,2023-06-02,16:00,    16.2,    77.5,    12.3,-99.9,
651,2023-06-02,17:00,    16.1,    77.5,    11.6,      37,
651,2023-06-02,18:00,    16.0,    77.4,    11.0,      37,
651,2023-06-02,19:00,    16.0,    77.5,     9.2,      37,
651,2023-06-02,20:00,    15.9,    77.5,     7.4,      38,
651,2023-06-02,21:00,    16.0,    77.6,     7.1,      38,
651,2023-06-02,22:00,    16.0,    77.7,     7.0,      37,
651,2023-06-02,23:00,    16.0,    77.7,     6.7,      38,
651,2023-06-03,00:00,    16.0,    77.8,     5.5,      38,
651,2023-06-03,01:00,    16.1,    77.8,     7.0,      38,
651,2023-06-03,02:00,    16.1,    77.8,     7.9,     256,
651,2023-06-03,03:00,    16.1,    77.8,     7.6,      37,
651,2023-06-03,04:00,    16.1,    77.8,     6.8,     239,
651,2023-06-03,05:00,    16.1,    77.8,     7.0,      38,
651,2023-06-03,06:00,    16.1,    77.8,     9.8,      37,
651,2023-06-03,07:00,    16.1,    77.9,    11.3,      36,
651,2023-06-03,08:00,    16.1,    77.8,    12.2,      56,
651,2023-06-03,09:00,    16.0,    77.8,    12.7,      36,
651,2023-06-03,10:00,    16.0,    77.7,    13.6,      36,
651,2023-06-03,11:00,    15.9,    77.7,    14.5,      36,
651,2023-06-03,12:00,    15.8,    77.6,    15.7,      35,
651,2023-06-03,13:00,    15.6,    77.4,    16.2,      34,
651,2023-06-03,14:00,    15.3,    77.4,    16.2,      34,
651,2023-06-03,15:00,    15.1,    77.3,    15.5,      34,
651,2023-06-03,16:00,    14.9,    77.4,    14.3,      33,
651,2023-06-03,17:00,    14.8,    77.4,    13.0,      33,
651,2023-06-03,18:00,    14.7,    77.3,    12.3,      33,
651,2023-06-03,19:00,    14.6,    77.4,    10.1,      34,
651,2023-06-03,20:00,    14.6,    77.5,     8.2,      34,
651,2023-06-03,21:00,    14.6,    77.5,     9.0,      33,
651,2023-06-03,22:00,    14.6,    77.6,     8.1,      33,
651,2023-06-03,23:00,    14.7,    77.6,     7.8,      34,
651,2023-06-04,00:00,    14.7,    77.8,     7.6,      52,
651,2023-06-04,01:00,    14.7,    77.7,     7.7,      34,
